Year,SB,SB_SD,low_SB,hi_SB,Depletion,Dep_SD,low_dep,hi_dep,SSversion
1960,696.538,44.7186,608.889544,784.186456,0.580158,0.0259972,0.529203488,0.631112512,330_est
1961,686.562,49.0754,590.374216,782.749784,0.571848,0.0316215,0.50986986,0.63382614,330_est
1962,674.477,52.5994,571.382176,777.571824,0.561782,0.0360825,0.4910603,0.6325037,330_est
1963,625.932,54.5886,518.938344,732.925656,0.521348,0.0393723,0.444178292,0.598517708,330_est
1964,605.507,55.4072,496.908888,714.105112,0.504336,0.0409189,0.424134956,0.584537044,330_est
1965,581.964,55.0757,474.015628,689.912372,0.484727,0.0412881,0.403802324,0.565651676,330_est
1966,569.298,53.9903,463.477012,675.118988,0.474177,0.0407376,0.394331304,0.554022696,330_est
1967,539.582,52.1158,437.435032,641.728968,0.449426,0.0396154,0.371779816,0.527072184,330_est
1968,513.517,49.953,415.60912,611.42488,0.427716,0.0382093,0.352825772,0.502606228,330_est
1969,500.539,47.8913,406.672052,594.405948,0.416907,0.0367895,0.34479958,0.48901442,330_est
1970,493.729,45.9315,403.70326,583.75474,0.411235,0.0354387,0.341775148,0.480694852,330_est
1971,497.028,44.205,410.3862,583.6698,0.413982,0.0342582,0.346835928,0.481128072,330_est
1972,506.591,42.6635,422.97054,590.21146,0.421948,0.03322,0.3568368,0.4870592,330_est
1973,509.149,41.0739,428.644156,589.653844,0.424078,0.0321554,0.361053416,0.487102584,330_est
1974,516.519,39.6074,438.888496,594.149504,0.430217,0.0310948,0.369271192,0.491162808,330_est
1975,528.441,38.2598,453.451792,603.430208,0.440146,0.0300996,0.381150784,0.499141216,330_est
1976,540.967,37.0457,468.357428,613.576572,0.45058,0.0292496,0.393250784,0.507909216,330_est
1977,531.852,35.646,461.98584,601.71816,0.442988,0.0283063,0.387507652,0.498468348,330_est
1978,521.846,34.2415,454.73266,588.95934,0.434653,0.0272492,0.381244568,0.488061432,330_est
1979,515.683,32.8771,451.243884,580.122116,0.42952,0.0260947,0.378374388,0.480665612,330_est
1980,509.002,31.5366,447.190264,570.813736,0.423955,0.0249103,0.375130812,0.472779188,330_est
1981,481.125,30.0634,422.200736,540.049264,0.400736,0.0237526,0.354180904,0.447291096,330_est
1982,418.753,28.1787,363.522748,473.983252,0.348786,0.0225521,0.304583884,0.392988116,330_est
1983,388.844,26.985,335.9534,441.7346,0.323874,0.0218517,0.281044668,0.366703332,330_est
1984,384.228,26.4797,332.327788,436.128212,0.320029,0.0215888,0.277714952,0.362343048,330_est
1985,382.798,26.1412,331.561248,434.034752,0.318838,0.021414,0.27686656,0.36080944,330_est
1986,377.183,25.8572,326.502888,427.863112,0.314161,0.0212797,0.272452788,0.355869212,330_est
1987,370.184,25.7341,319.745164,420.622836,0.308332,0.0212632,0.266656128,0.350007872,330_est
1988,355.945,25.5923,305.784092,406.105908,0.296472,0.0212086,0.254903144,0.338040856,330_est
1989,342.678,25.7395,292.22858,393.12742,0.285422,0.0213487,0.243578548,0.327265452,330_est
1990,324.835,25.8817,274.106868,375.563132,0.27056,0.0214997,0.228420588,0.312699412,330_est
1991,320.56,26.3995,268.81698,372.30302,0.266999,0.0219824,0.223913496,0.310084504,330_est
1992,328.022,27.391,274.33564,381.70836,0.273214,0.0228459,0.228436036,0.317991964,330_est
1993,338.779,28.6155,282.69262,394.86538,0.282174,0.0238756,0.235377824,0.328970176,330_est
1994,344.358,29.7698,286.009192,402.706808,0.286822,0.0248298,0.238155592,0.335488408,330_est
1995,349.898,30.9749,289.187196,410.608804,0.291435,0.0258274,0.240813296,0.342056704,330_est
1996,369.487,32.5571,305.675084,433.298916,0.307752,0.0271284,0.254580336,0.360923664,330_est
1997,396.292,34.4028,328.862512,463.721488,0.330077,0.0286392,0.273944168,0.386209832,330_est
1998,426.43,36.2751,355.330804,497.529196,0.35518,0.0301271,0.296130884,0.414229116,330_est
1999,439.359,37.6885,365.48954,513.22846,0.365949,0.0311711,0.304853644,0.427044356,330_est
2000,458.236,38.6275,382.5261,533.9459,0.381672,0.0317462,0.319449448,0.443894552,330_est
2001,470.037,38.9871,393.622284,546.451716,0.391501,0.0317977,0.329177508,0.453824492,330_est
2002,481.353,39.0182,404.877328,557.828672,0.400927,0.0315515,0.33908606,0.46276794,330_est
2003,483.186,38.6845,407.36438,559.00762,0.402453,0.0310129,0.341667716,0.463238284,330_est
2004,480.86,38.1068,406.170672,555.549328,0.400516,0.0302753,0.341176412,0.459855588,330_est
2005,472.874,37.3538,399.660552,546.087448,0.393864,0.0294357,0.336170028,0.451557972,330_est
2006,457.285,36.5593,385.628772,528.941228,0.380879,0.0286674,0.324690896,0.437067104,330_est
2007,446.514,36.076,375.80504,517.22296,0.371908,0.0282046,0.316626984,0.427189016,330_est
2008,440.421,35.8694,370.116976,510.725024,0.366833,0.027959,0.31203336,0.42163264,330_est
2009,440.787,35.7568,370.703672,510.870328,0.367139,0.0277005,0.31284602,0.42143198,330_est
2010,434.546,35.4672,365.030288,504.061712,0.36194,0.0273048,0.308422592,0.415457408,330_est
2011,433.886,35.3248,364.649392,503.122608,0.36139,0.0270074,0.308455496,0.414324504,330_est
2012,436.029,35.4629,366.521716,505.536284,0.363175,0.0269608,0.310331832,0.416018168,330_est
2013,439.68,36.07,368.9828,510.3772,0.366216,0.0273549,0.312600396,0.419831604,330_est
2014,447.783,37.4245,374.43098,521.13502,0.372966,0.02839,0.3173216,0.4286104,330_est
2015,459.187,39.6014,381.568256,536.805744,0.382464,0.0300722,0.323522488,0.441405512,330_est
1940,1358.18,0,1358.18,1358.18,1,0,1,1,330_fixed
1941,1353.49,0,1353.49,1353.49,0.996548,0,0.996548,0.996548,330_fixed
1942,1343.57,0,1343.57,1343.57,0.989242,0,0.989242,0.989242,330_fixed
1943,1325.08,0,1325.08,1325.08,0.975626,0,0.975626,0.975626,330_fixed
1944,1267.65,0,1267.65,1267.65,0.933343,0,0.933343,0.933343,330_fixed
1945,1182.8,0,1182.8,1182.8,0.870867,0,0.870867,0.870867,330_fixed
1946,1054.71,0,1054.71,1054.71,0.77656,0,0.77656,0.77656,330_fixed
1947,992.36,0,992.36,992.36,0.730654,0,0.730654,0.730654,330_fixed
1948,947.677,0,947.677,947.677,0.697755,0,0.697755,0.697755,330_fixed
1949,926.807,0,926.807,926.807,0.682389,0,0.682389,0.682389,330_fixed
1950,899.868,0,899.868,899.868,0.662554,0,0.662554,0.662554,330_fixed
1951,889.32,0,889.32,889.32,0.654788,0,0.654788,0.654788,330_fixed
1952,888.222,0,888.222,888.222,0.65398,0,0.65398,0.65398,330_fixed
1953,880.427,0,880.427,880.427,0.64824,0,0.64824,0.64824,330_fixed
1954,882.781,0,882.781,882.781,0.649973,0,0.649973,0.649973,330_fixed
1955,882.228,0,882.228,882.228,0.649566,0,0.649566,0.649566,330_fixed
1956,878.836,0,878.836,878.836,0.647069,0,0.647069,0.647069,330_fixed
1957,883.58,0,883.58,883.58,0.650561,0,0.650561,0.650561,330_fixed
1958,870.721,0,870.721,870.721,0.641094,0,0.641094,0.641094,330_fixed
1959,849.515,0,849.515,849.515,0.62548,0,0.62548,0.62548,330_fixed
1960,846.938,0,846.938,846.938,0.623583,0,0.623583,0.623583,330_fixed
1961,840.223,0,840.223,840.223,0.618639,0,0.618639,0.618639,330_fixed
1962,830.594,0,830.594,830.594,0.611549,0,0.611549,0.611549,330_fixed
1963,789.735,0,789.735,789.735,0.581466,0,0.581466,0.581466,330_fixed
1964,769.393,0,769.393,769.393,0.566488,0,0.566488,0.566488,330_fixed
1965,744.699,0,744.699,744.699,0.548307,0,0.548307,0.548307,330_fixed
1966,726.962,0,726.962,726.962,0.535247,0,0.535247,0.535247,330_fixed
1967,695.336,0,695.336,695.336,0.511962,0,0.511962,0.511962,330_fixed
1968,666.499,0,666.499,666.499,0.490729,0,0.490729,0.490729,330_fixed
