"","Label","Type","2023 Model","2015 Model"
"64",NA,"NonTRWL",957,NA
"65",NA,"Recreational",1870.64,NA
"66",NA,"Nearshore_survey",0,NA
"67",NA,"OCNMS",0,NA
"68",NA,"OCNMS_YOY",0,NA
"69",NA,"Private_Boat",0,NA
"70",NA,"Charter",0,NA
"71",NA,"nonTrawl",NA,1648.61
"72",NA,"Rec",NA,6160.31
"73",NA,"Dockside",NA,0
"74","Age_lambda",NA,NA,NA
"75",NA,"ALL",NA,NA
"76",NA,"Trawl",1,1
"77",NA,"Tagging",0,0
"78",NA,"NonTRWL",1,NA
"79",NA,"Recreational",1,NA
"80",NA,"Nearshore_survey",0,NA
"81",NA,"OCNMS",0,NA
"82",NA,"OCNMS_YOY",0,NA
"83",NA,"Private_Boat",0,NA
"84",NA,"Charter",0,NA
"85",NA,"nonTrawl",NA,1
"86",NA,"Rec",NA,1
"87",NA,"Dockside",NA,0
"88","Parameters",NA,NA,NA
"89",NA,"NatM_uniform_Fem_GP_1",0.17,0.162833
"90",NA,"L_at_Amin_Fem_GP_1",0,20.1681
"91",NA,"L_at_Amax_Fem_GP_1",52.7245,53.9105
"92",NA,"VonBert_K_Fem_GP_1",0.117701,0.137011
"93",NA,"CV_young_Fem_GP_1",0.1,0.116235
"94",NA,"CV_old_Fem_GP_1",0.1,0.0793624
"95",NA,"Wtlen_1_Fem_GP_1",5.24556e-05,2.48e-05
"96",NA,"Wtlen_2_Fem_GP_1",2.72122,2.9006
"97",NA,"Mat50%_Fem_GP_1",40.36,43.69
"98",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.66
"99",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,NA
"100",NA,"Eggs_exp_len_Fem_GP_1",4.685,NA
"101",NA,"NatM_uniform_Mal_GP_1",0.152,-0.114176
"102",NA,"L_at_Amin_Mal_GP_1",3.66175,-0.0799133
"103",NA,"L_at_Amax_Mal_GP_1",47.644,-0.136329
"104",NA,"VonBert_K_Mal_GP_1",0.14032,0.522979
"105",NA,"CV_young_Mal_GP_1",0.1,0.183357
"106",NA,"CV_old_Mal_GP_1",0.1,-0.317498
"107",NA,"Wtlen_1_Mal_GP_1",2.47904e-05,2.58e-05
"108",NA,"Wtlen_2_Mal_GP_1",2.91062,2.887
"109",NA,"CohortGrowDev",1,1
"110",NA,"FracFemale_GP_1",0.5,0.5
"111",NA,"SR_LN(R0)",7.58393,7.67577
"112",NA,"SR_BH_steep",0.72,0.773
"113",NA,"SR_sigmaR",0.6,0.5
"114",NA,"SR_regime",0,0
"115",NA,"SR_autocorr",0,0
"116",NA,"Main_RecrDev_1956",-0.542016,-0.370498
"117",NA,"Main_RecrDev_1957",-0.556883,-0.450295
"118",NA,"Main_RecrDev_1958",-0.553233,-0.431579
"119",NA,"Main_RecrDev_1959",-0.523126,-0.347967
"120",NA,"Main_RecrDev_1960",-0.462042,-0.235857
"121",NA,"Main_RecrDev_1961",-0.371484,-0.241653
"122",NA,"Main_RecrDev_1962",-0.270842,-0.264325
"123",NA,"Main_RecrDev_1963",-0.220854,0.0803321
"124",NA,"Main_RecrDev_1964",-0.273228,-0.0276025
"125",NA,"Main_RecrDev_1965",-0.333919,-0.281791
"126",NA,"Main_RecrDev_1966",-0.308848,-0.182988
"127",NA,"Main_RecrDev_1967",-0.102548,-0.0257781
"128",NA,"Main_RecrDev_1968",0.155744,0.630777
"129",NA,"Main_RecrDev_1969",-0.13838,-0.337675
"130",NA,"Main_RecrDev_1970",-0.167232,-0.327138
"131",NA,"Main_RecrDev_1971",0.0207931,0.103884
"132",NA,"Main_RecrDev_1972",-0.0715412,-0.0697509
"133",NA,"Main_RecrDev_1973",0.318172,0.16122
"134",NA,"Main_RecrDev_1974",0.389954,0.58965
"135",NA,"Main_RecrDev_1975",-0.243566,-0.113338
"136",NA,"Main_RecrDev_1976",0.0356328,0.354428
"137",NA,"Main_RecrDev_1977",-0.076085,0.0423919
"138",NA,"Main_RecrDev_1978",0.376036,0.486756
"139",NA,"Main_RecrDev_1979",0.0743211,0.366912
"140",NA,"Main_RecrDev_1980",-0.102564,0.220863
"141",NA,"Main_RecrDev_1981",-0.0285793,0.237823
"142",NA,"Main_RecrDev_1982",-0.255733,0.00913671
"143",NA,"Main_RecrDev_1983",0.282649,0.586225
"144",NA,"Main_RecrDev_1984",-0.0796855,0.1852
"145",NA,"Main_RecrDev_1985",0.15888,0.401023
"146",NA,"Main_RecrDev_1986",-0.165923,-0.108409
"147",NA,"Main_RecrDev_1987",0.130488,0.462944
"148",NA,"Main_RecrDev_1988",-0.215969,0.175649
"149",NA,"Main_RecrDev_1989",0.29778,0.548145
"150",NA,"Main_RecrDev_1990",0.121899,0.311423
"151",NA,"Main_RecrDev_1991",-0.0916205,-0.0836965
"152",NA,"Main_RecrDev_1992",-0.198288,-0.062998
"153",NA,"Main_RecrDev_1993",-0.0702055,-0.292241
"154",NA,"Main_RecrDev_1994",0.267829,0.335227
"155",NA,"Main_RecrDev_1995",0.214424,-0.180124
"156",NA,"Main_RecrDev_1996",-0.238565,-0.474935
"157",NA,"Main_RecrDev_1997",0.0828547,0.195544
"158",NA,"Main_RecrDev_1998",0.0986925,-0.398119
"159",NA,"Main_RecrDev_1999",0.264296,0.434597
"160",NA,"Main_RecrDev_2000",0.470923,0.00593845
"161",NA,"Main_RecrDev_2001",-0.325219,-0.58317
"162",NA,"Main_RecrDev_2002",-0.478789,-0.50604
"163",NA,"Main_RecrDev_2003",0.194212,0.305976
"164",NA,"Main_RecrDev_2004",0.106522,-0.0802821
"165",NA,"Main_RecrDev_2005",0.0274557,0.0423056
"166",NA,"Main_RecrDev_2006",0.48888,0.732566
"167",NA,"Main_RecrDev_2007",0.500059,0.031452
"168",NA,"Main_RecrDev_2008",0.634449,0.687489
"169",NA,"Main_RecrDev_2009",0.385721,-1.20886
"170",NA,"Main_RecrDev_2010",0.280653,0.402525
"171",NA,"Main_RecrDev_2011",0.809171,-0.463886
"172",NA,"Main_RecrDev_2012",0.497746,NA
"173",NA,"Main_RecrDev_2013",0.43814,NA
"174",NA,"Main_RecrDev_2014",0.185694,NA
"175",NA,"Main_RecrDev_2015",-0.121049,NA
"176",NA,"Main_RecrDev_2016",-0.0701137,NA
"177",NA,"Main_RecrDev_2017",-0.651942,NA
"178",NA,"Late_RecrDev_2018",0,NA
"179",NA,"Late_RecrDev_2019",0,NA
"180",NA,"Late_RecrDev_2020",0,NA
"181",NA,"Late_RecrDev_2021",0,NA
"182",NA,"Late_RecrDev_2022",0,NA
"183",NA,"ForeRecr_2023",0,NA
"184",NA,"InitF_seas_1_flt_1Trawl",1e-20,1e-20
"185",NA,"InitF_seas_1_flt_2NonTRWL",1e-20,NA
"186",NA,"InitF_seas_1_flt_3Recreational",1e-20,NA
"187",NA,"LnQ_base_Tagging(4)",-5.57068,NA
"188",NA,"LnQ_base_Nearshore_survey(5)",-7.12734,NA
"189",NA,"Q_extraSD_Nearshore_survey(5)",0.118459,NA
"190",NA,"LnQ_base_OCNMS(6)",-7.39834,NA
"191",NA,"LnQ_base_OCNMS_YOY(7)",-6.5753,NA
"192",NA,"Q_extraSD_OCNMS_YOY(7)",1.79608,NA
"193",NA,"LnQ_base_Private_Boat(8)",-6.23825,NA
"194",NA,"Q_extraSD_Private_Boat(8)",0.377912,NA
"195",NA,"LnQ_base_Charter(9)",-5.72834,NA
"196",NA,"Q_extraSD_Charter(9)",0.139726,NA
"197",NA,"Size_DblN_peak_Trawl(1)",50.0235,41.2892
"198",NA,"Size_DblN_top_logit_Trawl(1)",0.811029,2.58125
"199",NA,"Size_DblN_ascend_se_Trawl(1)",3.46201,3.69345
"200",NA,"Size_DblN_descend_se_Trawl(1)",2.2,2.2
"201",NA,"Size_DblN_start_logit_Trawl(1)",-5,-4
"202",NA,"Size_DblN_end_logit_Trawl(1)",5,5
"203",NA,"Size_DblN_peak_NonTRWL(2)",48.8267,NA
"204",NA,"Size_DblN_top_logit_NonTRWL(2)",-0.795084,NA
"205",NA,"Size_DblN_ascend_se_NonTRWL(2)",4.30156,NA
"206",NA,"Size_DblN_descend_se_NonTRWL(2)",3,NA
"207",NA,"Size_DblN_start_logit_NonTRWL(2)",-4,NA
"208",NA,"Size_DblN_end_logit_NonTRWL(2)",5,NA
"209",NA,"Size_DblN_peak_Recreational(3)",43.5179,NA
"210",NA,"Size_DblN_top_logit_Recreational(3)",2.49738,NA
"211",NA,"Size_DblN_ascend_se_Recreational(3)",3.65335,NA
"212",NA,"Size_DblN_descend_se_Recreational(3)",3,NA
"213",NA,"Size_DblN_start_logit_Recreational(3)",-4,NA
"214",NA,"Size_DblN_end_logit_Recreational(3)",5,NA
"215",NA,"Size_DblN_peak_Tagging(4)",41.7165,NA
"216",NA,"Size_DblN_top_logit_Tagging(4)",-3.70756,NA
"217",NA,"Size_DblN_ascend_se_Tagging(4)",3.35394,NA
"218",NA,"Size_DblN_descend_se_Tagging(4)",2.2,NA
"219",NA,"Size_DblN_start_logit_Tagging(4)",-4,NA
"220",NA,"Size_DblN_end_logit_Tagging(4)",5,NA
"221",NA,"Size_DblN_peak_Nearshore_survey(5)",32.2452,NA
"222",NA,"Size_DblN_top_logit_Nearshore_survey(5)",-2.60095,NA
"223",NA,"Size_DblN_ascend_se_Nearshore_survey(5)",3.7502,NA
"224",NA,"Size_DblN_descend_se_Nearshore_survey(5)",2.2,NA
"225",NA,"Size_DblN_start_logit_Nearshore_survey(5)",-4,NA
"226",NA,"Size_DblN_end_logit_Nearshore_survey(5)",5,NA
"227",NA,"Size_DblN_peak_OCNMS(6)",26.6736,NA
"228",NA,"Size_DblN_top_logit_OCNMS(6)",3.5045,NA
"229",NA,"Size_DblN_ascend_se_OCNMS(6)",3.58539,NA
"230",NA,"Size_DblN_descend_se_OCNMS(6)",-4.49972,NA
"231",NA,"Size_DblN_start_logit_OCNMS(6)",-15,NA
"232",NA,"Size_DblN_end_logit_OCNMS(6)",-15,NA
"233",NA,"SizeSel_P1_Private_Boat(8)",-1,NA
"234",NA,"SizeSel_P2_Private_Boat(8)",-1,NA
"235",NA,"SizeSel_P1_Charter(9)",-1,NA
"236",NA,"SizeSel_P2_Charter(9)",-1,NA
"237",NA,"Eggs/kg_inter_Fem_GP_1",NA,0.2747
"238",NA,"Eggs/kg_slope_wt_Fem_GP_1",NA,0.0941
"239",NA,"Main_RecrDev_1950",NA,-0.157653
"240",NA,"Main_RecrDev_1951",NA,-0.150752
"241",NA,"Main_RecrDev_1952",NA,-0.146175
"242",NA,"Main_RecrDev_1953",NA,-0.138172
"243",NA,"Main_RecrDev_1954",NA,-0.149515
"244",NA,"Main_RecrDev_1955",NA,-0.235137
"245",NA,"Late_RecrDev_2012",NA,0
"246",NA,"Late_RecrDev_2013",NA,0
"247",NA,"Late_RecrDev_2014",NA,0
"248",NA,"ForeRecr_2015",NA,0
"249",NA,"InitF_seas_1_flt_2nonTrawl",NA,1e-20
"250",NA,"InitF_seas_1_flt_3Rec",NA,1e-20
"251",NA,"LnQ_base_Dockside(4)",NA,-6.46775
"252",NA,"Q_extraSD_Dockside(4)",NA,0.0786213
"253",NA,"LnQ_base_Tagging(5)",NA,-8.32675
"254",NA,"Q_extraSD_Tagging(5)",NA,0.464812
"255",NA,"Size_DblN_peak_nonTrawl(2)",NA,41.2892
"256",NA,"Size_DblN_top_logit_nonTrawl(2)",NA,2.58125
"257",NA,"Size_DblN_ascend_se_nonTrawl(2)",NA,3.69345
"258",NA,"Size_DblN_descend_se_nonTrawl(2)",NA,2.2
"259",NA,"Size_DblN_start_logit_nonTrawl(2)",NA,-4
"260",NA,"Size_DblN_end_logit_nonTrawl(2)",NA,5
"261",NA,"Size_DblN_peak_Rec(3)",NA,40.3782
"262",NA,"Size_DblN_top_logit_Rec(3)",NA,-4.6188
"263",NA,"Size_DblN_ascend_se_Rec(3)",NA,3.52469
"264",NA,"Size_DblN_descend_se_Rec(3)",NA,2.2
"265",NA,"Size_DblN_start_logit_Rec(3)",NA,-4
"266",NA,"Size_DblN_end_logit_Rec(3)",NA,5
"267",NA,"SizeSel_P1_Dockside(4)",NA,-1
"268",NA,"SizeSel_P2_Dockside(4)",NA,-1
"269",NA,"Size_DblN_peak_Tagging(5)",NA,39.7347
"270",NA,"Size_DblN_top_logit_Tagging(5)",NA,-3.03675
"271",NA,"Size_DblN_ascend_se_Tagging(5)",NA,3.60432
"272",NA,"Size_DblN_descend_se_Tagging(5)",NA,2.2
"273",NA,"Size_DblN_start_logit_Tagging(5)",NA,-4
"274",NA,"Size_DblN_end_logit_Tagging(5)",NA,5
"275","Derived quantities",NA,NA,NA
"276",NA,"SB0",946.031,1393.02
"277",NA,"SSB_2023",430.898,NA
"278",NA,"Bratio_2023",0.45548,NA
"279",NA,"MSY_SPR",276.604,318.112
"280",NA,"F_SPR",0.0483192,0.0541604
