"","Label","Type","0- Reference model","01- Est M","02- Lorenzen M","03- fix growth","04- fix growth Est M","05- Est Lmin","06- fix t0=0","07- Est CVlts","08- bio mat ogive","09- Fxnal mat ogive","10- Fec = ltwt","11- No rec devs","12- Full rec devs","13- Domed sel est"
"128",NA,"Main_RecrDev_1986",-0.167596,-0.086396,-0.124079,-0.0482162,0.0986319,-0.174425,-0.347435,-0.116738,-0.181433,-0.16764,-0.17481,NA,-0.137917,-0.169102
"129",NA,"Main_RecrDev_1987",0.128984,0.21292,0.173261,0.217028,0.358006,0.123316,0.112028,0.132527,0.10881,0.128928,0.117713,NA,0.155508,0.128361
"130",NA,"Main_RecrDev_1988",-0.217195,-0.14508,-0.183752,-0.184105,-0.0730077,-0.222474,-0.214466,-0.185305,-0.245664,-0.217262,-0.232218,NA,-0.187364,-0.218055
"131",NA,"Main_RecrDev_1989",0.296705,0.368701,0.337843,0.323341,0.426138,0.292823,0.313072,0.309932,0.261135,0.296615,0.278065,NA,0.323114,0.296702
"132",NA,"Main_RecrDev_1990",0.120929,0.186381,0.154026,0.325046,0.391275,0.117695,0.137594,0.135075,0.0765367,0.120823,0.0980811,NA,0.148602,0.120655
"133",NA,"Main_RecrDev_1991",-0.092637,-0.0312234,-0.0561318,0.0743782,0.123116,-0.0951914,-0.113929,-0.105131,-0.14643,-0.0927388,-0.120463,NA,-0.064855,-0.0931952
"134",NA,"Main_RecrDev_1992",-0.199431,-0.141505,-0.162866,0.0015917,0.0374114,-0.201452,-0.22874,-0.197014,-0.258592,-0.199535,-0.230657,NA,-0.171129,-0.19909
"135",NA,"Main_RecrDev_1993",-0.0716465,-0.0115958,-0.0370488,0.0751377,0.103017,-0.0733462,-0.153456,-0.0817236,-0.134639,-0.0717318,-0.105416,NA,-0.0434678,-0.0712129
"136",NA,"Main_RecrDev_1994",0.265949,0.328884,0.299547,0.383598,0.416311,0.264737,0.23998,0.251757,0.199817,0.265859,0.23049,NA,0.293286,0.26729
"137",NA,"Main_RecrDev_1995",0.211945,0.281665,0.245299,0.264698,0.310311,0.210984,0.167653,0.191738,0.137557,0.211872,0.172463,NA,0.238537,0.212476
"138",NA,"Main_RecrDev_1996",-0.241322,-0.176303,-0.216631,-0.266572,-0.229432,-0.242534,-0.284841,-0.255358,-0.30899,-0.241385,-0.278343,NA,-0.21083,-0.24114
"139",NA,"Main_RecrDev_1997",0.0798823,0.148836,0.104774,0.0428792,0.0911713,0.0802056,0.0975515,0.0605137,0.0190013,0.0797968,0.0441661,NA,0.108109,0.0827071
"140",NA,"Main_RecrDev_1998",0.0956253,0.158182,0.122945,0.116497,0.150958,0.0969311,0.0240437,0.0901347,0.04622,0.0955421,0.0646354,NA,0.126494,0.101681
"141",NA,"Main_RecrDev_1999",0.261393,0.31762,0.284081,0.297684,0.321458,0.264034,0.313105,0.244356,0.217305,0.261295,0.233284,NA,0.293755,0.270142
"142",NA,"Main_RecrDev_2000",0.468611,0.521878,0.488712,0.567385,0.579344,0.473528,0.386247,0.451791,0.431981,0.468499,0.443767,NA,0.500875,0.482144
"143",NA,"Main_RecrDev_2001",-0.325953,-0.290749,-0.317235,-0.176364,-0.198237,-0.320169,-0.323423,-0.333295,-0.351683,-0.326077,-0.34531,NA,-0.287222,-0.30992
"144",NA,"Main_RecrDev_2002",-0.478596,-0.450499,-0.48182,-0.48606,-0.53356,-0.471552,-0.452459,-0.484075,-0.496139,-0.478714,-0.49408,NA,-0.43734,-0.461591
"145",NA,"Main_RecrDev_2003",0.196624,0.224459,0.19099,0.197252,0.148207,0.207344,0.270169,0.20489,0.184735,0.196475,0.182932,NA,0.236012,0.220416
"146",NA,"Main_RecrDev_2004",0.111297,0.127847,0.0971534,0.288506,0.214588,0.124583,0.161914,0.0942437,0.106025,0.11112,0.100879,NA,0.15489,0.141776
"147",NA,"Main_RecrDev_2005",0.0329186,0.0447396,-0.00122427,0.122154,0.0261672,0.0477953,0.182714,0.0816831,0.0312788,0.0327531,0.0242024,NA,0.0801697,0.0658564
"148",NA,"Main_RecrDev_2006",0.495719,0.499975,0.459132,0.698584,0.610483,0.51579,0.581049,0.497276,0.499106,0.495528,0.48681,NA,0.54351,0.538531
"149",NA,"Main_RecrDev_2007",0.507798,0.499153,0.463476,0.724943,0.616524,0.531325,0.593423,0.528998,0.520502,0.50764,0.501009,NA,0.561054,0.556789
"150",NA,"Main_RecrDev_2008",0.643102,0.626491,0.576079,0.850133,0.739772,0.670983,0.775418,0.655042,0.663429,0.642933,0.638244,NA,0.698425,0.698776
"151",NA,"Main_RecrDev_2009",0.395464,0.355942,0.318489,0.633462,0.498962,0.429065,0.468481,0.416786,0.428301,0.395297,0.395647,NA,0.456969,0.461106
"152",NA,"Main_RecrDev_2010",0.290734,0.241889,0.19052,0.372594,0.220399,0.326321,0.433023,0.30637,0.325557,0.290575,0.293412,NA,0.356252,0.357531
"153",NA,"Main_RecrDev_2011",0.820609,0.757121,0.708576,0.889508,0.725283,0.863584,0.916306,0.84491,0.86158,0.82043,0.825805,NA,0.888433,0.896225
"154",NA,"Main_RecrDev_2012",0.509258,0.438195,0.376855,0.513503,0.330005,0.554686,0.603341,0.514638,0.552059,0.509098,0.516085,NA,0.581529,0.582369
"155",NA,"Main_RecrDev_2013",0.44973,0.376367,0.300388,0.281636,0.0938641,0.498945,0.611804,0.470927,0.495837,0.449575,0.456754,NA,0.523444,0.519566
"156",NA,"Main_RecrDev_2014",0.19688,0.127602,0.0280989,-0.0489213,-0.233224,0.246782,0.321776,0.233054,0.239192,0.196725,0.204025,NA,0.272355,0.247277
"157",NA,"Main_RecrDev_2015",-0.110828,-0.170815,-0.294302,-0.434148,-0.612332,-0.0678426,0.0152225,-0.105724,-0.0772776,-0.110975,-0.103385,NA,-0.0350052,-0.0853761
"158",NA,"Main_RecrDev_2016",-0.060095,-0.112184,-0.264342,-0.504622,-0.663877,-0.03899,0.431793,-0.0438854,-0.0605846,-0.0602801,-0.0514558,NA,0.0156139,-0.0891992
"159",NA,"Main_RecrDev_2017",-0.643139,-0.70341,-0.872337,-1.22548,-1.41349,-0.648896,-0.0269891,-0.62567,-0.654679,-0.643318,-0.631323,NA,-0.551678,-0.707058
"160",NA,"Late_RecrDev_2018",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"161",NA,"Late_RecrDev_2019",0,0,0,0,0,0,0,0,0,0,0,NA,0,0
