Type,0- Reference model,01- Est M,02- Lorenzen M,03- fix growth,04- fix growth Est M,05- Est Lmin,06- fix t0=0,07- Est CVlts,08- bio mat ogive,09- Fxnal mat ogive,10- Fec = ltwt,11- No rec devs,12- Full rec devs,13- Domed sel est
LnQ_base_Charter(9),-5.72854,-5.6468,-5.76278,-7.12214,-6.25268,-5.73126,-6.05811,-5.7898,-5.73012,-5.72894,-5.72795,-5.68439,-5.72847,-5.74286
Q_extraSD_Charter(9),0.139374,0.147517,0.129998,0.078608,0.0769388,0.138402,0.130222,0.127602,0.137996,0.139532,0.139223,0.151294,0.137147,0.132065
Size_DblN_peak_Trawl(1),50.0218,50.1002,49.6735,49.7969,50.0671,50.0173,49.5621,50.8778,50.0244,50.0224,50.0235,49.9466,50.0504,49.9989
Size_DblN_top_logit_Trawl(1),0.809362,0.657864,0.92375,-0.520083,-0.550706,0.804894,-0.407399,-0.185358,0.821477,0.809475,0.817669,0.82199,0.862601,0.78563
Size_DblN_ascend_se_Trawl(1),3.46192,3.48426,3.40521,3.63044,3.67886,3.46151,3.58896,3.54596,3.46151,3.46194,3.46161,3.44495,3.46431,3.46306
Size_DblN_peak_NonTRWL(2),48.8262,49.0261,48.1063,47.2474,49.3198,48.8216,46.8109,50.0611,48.818,48.8262,48.8209,48.9592,48.8012,48.8144
Size_DblN_top_logit_NonTRWL(2),-0.710716,-0.865698,2.09208,-1.44605,2.05894,1.95837,-1.0294,1.96152,-0.714109,-0.716277,-0.794561,2.04409,-0.816662,0.116725
Size_DblN_ascend_se_NonTRWL(2),4.30156,4.34036,4.19788,4.45224,4.6931,4.3011,4.38746,4.40862,4.29989,4.30151,4.30047,4.30193,4.29886,4.30478
Size_DblN_peak_Recreational(3),43.5177,43.5728,43.3293,41.3046,41.8984,43.5081,41.6268,43.8661,43.5007,43.5159,43.5107,43.608,43.5041,43.4871
Size_DblN_top_logit_Recreational(3),-2.5445,2.48525,2.52726,-8.87229,2.63392,-2.55034,2.62155,2.50065,2.49743,2.49755,2.49734,2.50861,2.49415,-1.13396
Size_DblN_ascend_se_Recreational(3),3.6531,3.67978,3.5897,3.59959,3.72736,3.65175,3.5967,3.73709,3.65035,3.6528,3.65149,3.64938,3.65112,3.65615
Size_DblN_peak_Tagging(4),41.7053,41.8112,41.5754,40.0276,40.0007,41.6899,40.3115,41.8862,41.6873,41.7064,41.7021,41.8532,41.6937,42.1317
Size_DblN_top_logit_Tagging(4),-3.6876,-4.17038,-3.20262,-3.38848,-3.37544,-3.65634,-3.51834,-4.03285,-3.63269,-3.68762,-3.66832,-4.18764,-3.65767,-3.37767
Size_DblN_ascend_se_Tagging(4),3.35208,3.39257,3.30246,3.33943,3.38259,3.34863,3.35426,3.41487,3.34657,3.35216,3.35043,3.41922,3.34912,3.41261
Size_DblN_peak_Nearshore_survey(5),32.2138,32.1527,32.9439,30.2327,30.425,23.343,29.6829,31.7825,31.9532,32.2155,32.1786,34.3056,32.0526,33.9407
Size_DblN_top_logit_Nearshore_survey(5),-2.58671,-2.57157,-2.97191,-1.8565,2.24166,-7.4963,-7.97052,-2.46675,-2.47957,-2.5876,-2.57075,-4.48357,-2.51668,-9.98641
Size_DblN_ascend_se_Nearshore_survey(5),3.74914,3.7541,3.68184,3.64381,3.68719,-2.63162,3.51514,3.71148,3.73611,3.7493,3.75114,3.98555,3.75228,3.85642
Size_DblN_peak_OCNMS(6),26.655,26.4013,28.4878,15.0039,10.8377,26.5468,25.0717,26.213,13.0394,26.6551,26.629,28.8912,26.5342,13.0394
Size_DblN_top_logit_OCNMS(6),1.03594,2.44101,3.45419,1.66157,2.17331,3.51246,1.36427,3.55087,2.78175,3.50565,3.50811,3.16364,1.75445,1.6526
Size_DblN_ascend_se_OCNMS(6),3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
Size_DblN_descend_se_OCNMS(6),1.32842,-4.50033,-4.50023,-4.49246,-4.43898,-4.49984,-4.04984,-4.49817,-4.50084,-4.49974,-4.49958,-4.49271,-4.50156,-4.50006
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SB0,949.641,859.33,790.092,2063.54,1629.17,962.927,1237.6,981.528,1258.76,949.374,1751.15,801.662,920.816,978.318
SSB_2023,440.039,282.927,285.03,1950.33,519.706,478.162,886.297,502.112,743.325,439.546,935.382,232.784,475.888,519.701
Bratio_2023,0.463374,0.329242,0.360755,0.945139,0.319,0.496572,0.71614,0.511561,0.590522,0.462985,0.534154,0.290376,0.516811,0.531219
MSY_SPR,277.621,248.067,252.457,566.188,214.6,281.427,333.57,286.32,314.144,277.57,295.944,234.973,269.074,284.986
F_SPR,0.0483232,0.0489355,0.0406718,0.0557434,0.044606,0.0483287,0.0605271,0.0482814,0.0596478,0.0483201,0.0542989,0.0482083,0.0483154,0.0484382
