,Label,Type,00- Reference model,01- Est M,02- Lorenzen M,03- OR M,"04- Sex = 3, Est M",05- fix growth Est M,06- fix growth,07- Est Lmin,08- fix t0=0,09- Est CVlts,10- bio mat ogive,11- Fxnal mat ogive,12- Fec = ltwt,13- No rec devs,14- Full rec devs,15- Domed sel est
197,NA,Size_DblN_peak_Tagging(4),41.904,41.8165,41.5768,41.6087,41.7349,40.0046,40.0334,41.649,40.2998,41.8796,41.684,41.7064,41.6995,41.8462,41.6904,42.1469
198,NA,Size_DblN_top_logit_Tagging(4),-5.33963,-4.23623,-3.21849,-3.27232,-3.555,-3.38165,-3.39516,-3.6255,-3.55024,-4.0746,-3.64872,-3.70655,-3.68659,-4.18599,-3.67418,-3.40016
199,NA,Size_DblN_ascend_se_Tagging(4),3.50492,3.39559,3.3039,3.32177,3.34102,3.38458,3.34125,3.34248,3.35328,3.41558,3.34698,3.3534,3.35103,3.41918,3.34955,3.4156
200,NA,Size_DblN_descend_se_Tagging(4),2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.94591
201,NA,Size_DblN_start_logit_Tagging(4),-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
202,NA,Size_DblN_end_logit_Tagging(4),5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-1.70231
205,NA,Size_DblN_peak_OCNMS(6),26.6504,26.307,28.3882,26.7048,26.6115,14.6966,15.004,10.7422,24.8244,26.0974,13.0434,26.5727,26.5459,28.884,26.446,10.7407
206,NA,Size_DblN_top_logit_OCNMS(6),1.03612,0.752575,3.18402,3.23559,3.52173,1.66826,1.66174,3.88766,1.75854,3.56158,2.78443,3.5183,3.51561,3.12764,3.24189,1.70661
207,NA,Size_DblN_ascend_se_OCNMS(6),3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
208,NA,Size_DblN_descend_se_OCNMS(6),1.32143,-4.5684,-4.48939,-4.49638,-4.49983,-4.50804,-4.50864,-4.49976,-4.48637,-4.50081,-4.49829,-4.49988,-4.50082,-4.32132,-4.50882,-4.49992
210,NA,Size_DblN_end_logit_OCNMS(6),-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-0.149633
215,NA,Size_DblN_peak_Nearshore_survey(5),NA,42.4607,42.0154,42.3012,42.6192,37.0995,36.8366,26.8485,39.9175,42.0559,42.3627,42.3673,42.3693,43.2146,42.4089,42.9573
216,NA,Size_DblN_top_logit_Nearshore_survey(5),NA,-6.20989,-5.87128,-7.06823,-6.2458,-2.00935,-1.94217,0.0297244,-3.6803,-6.02818,-6.64072,-6.86005,-6.22219,-7.63417,-6.24941,-1.37563
217,NA,Size_DblN_ascend_se_Nearshore_survey(5),NA,4.20448,4.061,4.17879,4.21085,3.64013,3.61778,-0.135614,4.12816,4.23161,4.21354,4.18836,4.19196,4.01775,4.20786,4.26886
218,NA,Size_DblN_descend_se_Nearshore_survey(5),NA,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,-4.50396
219,NA,Size_DblN_start_logit_Nearshore_survey(5),NA,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
220,NA,Size_DblN_end_logit_Nearshore_survey(5),NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,-0.774724
250,Derived quantities,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,NA,SB0,943.875,851.568,788.082,932.281,1301.23,1630.93,2127.62,988.227,1250.61,982.032,1260.1,948.822,1751.07,802.936,921.438,970.705
252,NA,SSB_2023,426.151,273.294,284.646,603.693,550.671,542.449,2090.37,568.205,931.056,510.418,747.552,442.423,940.587,234.634,481.65,498.549
253,NA,Bratio_2023,0.451491,0.320931,0.361188,0.647544,0.423192,0.332602,0.98249,0.574975,0.744483,0.519757,0.593247,0.466287,0.537149,0.29222,0.522715,0.513595
254,NA,MSY_SPR,275.884,245.938,251.82,325.147,262.622,214.531,583.663,288.501,336.956,286.247,314.366,277.323,295.857,235.308,269.169,282.805
255,NA,F_SPR,0.0483459,0.0489859,0.0407037,0.0494047,0.0442282,0.0445759,0.0557412,0.0483928,0.0605532,0.0483005,0.059669,0.0483488,0.0543277,0.0482234,0.0483444,0.0484426
