"","Label","Type","0- Reference","1- Length only","2- Age only","3- Length Age only","4a- Catch length","4b- Catch length rec devs","5a- Catch age","5b- Catch age rec devs","6a- Catch length age","6b- Catch length age recdevs"
"138",NA,"Main_RecrDev_1978",0.373089,NA,NA,NA,NA,0.419718,NA,0.270879,NA,0.301459
"139",NA,"Main_RecrDev_1979",0.0716036,NA,NA,NA,NA,0.170005,NA,-0.0994156,NA,-0.0165729
"140",NA,"Main_RecrDev_1980",-0.105245,NA,NA,NA,NA,-0.0470818,NA,-0.142173,NA,-0.139624
"141",NA,"Main_RecrDev_1981",-0.0311854,NA,NA,NA,NA,-0.328836,NA,-0.103446,NA,-0.0922792
"142",NA,"Main_RecrDev_1982",-0.258098,NA,NA,NA,NA,-0.548049,NA,-0.537365,NA,-0.335564
"143",NA,"Main_RecrDev_1983",0.280357,NA,NA,NA,NA,-0.590438,NA,0.297125,NA,0.254013
"144",NA,"Main_RecrDev_1984",-0.0817203,NA,NA,NA,NA,-0.469119,NA,-0.134515,NA,-0.116579
"145",NA,"Main_RecrDev_1985",0.156938,NA,NA,NA,NA,-0.223305,NA,0.260766,NA,0.184221
"146",NA,"Main_RecrDev_1986",-0.16764,NA,NA,NA,NA,-0.19398,NA,-0.199763,NA,-0.165886
"147",NA,"Main_RecrDev_1987",0.128928,NA,NA,NA,NA,-0.132538,NA,0.302789,NA,0.165993
"148",NA,"Main_RecrDev_1988",-0.217262,NA,NA,NA,NA,0.0394351,NA,-0.244968,NA,-0.235314
"149",NA,"Main_RecrDev_1989",0.296615,NA,NA,NA,NA,-0.0484509,NA,0.50148,NA,0.329129
"150",NA,"Main_RecrDev_1990",0.120823,NA,NA,NA,NA,-0.0127907,NA,0.214755,NA,0.132858
"151",NA,"Main_RecrDev_1991",-0.0927388,NA,NA,NA,NA,0.257733,NA,-0.145261,NA,-0.131817
"152",NA,"Main_RecrDev_1992",-0.199535,NA,NA,NA,NA,0.0656617,NA,-0.188724,NA,-0.223597
"153",NA,"Main_RecrDev_1993",-0.0717318,NA,NA,NA,NA,0.0163029,NA,-0.0809877,NA,-0.10273
"154",NA,"Main_RecrDev_1994",0.265859,NA,NA,NA,NA,0.196077,NA,0.254197,NA,0.225416
"155",NA,"Main_RecrDev_1995",0.211872,NA,NA,NA,NA,0.75444,NA,0.194263,NA,0.159387
"156",NA,"Main_RecrDev_1996",-0.241385,NA,NA,NA,NA,0.812602,NA,-0.225436,NA,-0.284527
"157",NA,"Main_RecrDev_1997",0.0797969,NA,NA,NA,NA,0.297944,NA,0.137323,NA,0.0298379
"158",NA,"Main_RecrDev_1998",0.0955421,NA,NA,NA,NA,0.0581148,NA,0.107757,NA,0.0247168
"159",NA,"Main_RecrDev_1999",0.261295,NA,NA,NA,NA,-0.0508742,NA,0.334678,NA,0.19637
"160",NA,"Main_RecrDev_2000",0.468499,NA,NA,NA,NA,0.0451976,NA,0.478509,NA,0.390523
"161",NA,"Main_RecrDev_2001",-0.326077,NA,NA,NA,NA,0.108352,NA,-0.327954,NA,-0.397952
"162",NA,"Main_RecrDev_2002",-0.478714,NA,NA,NA,NA,-0.121813,NA,-0.453234,NA,-0.534675
"163",NA,"Main_RecrDev_2003",0.196475,NA,NA,NA,NA,-0.330131,NA,0.211794,NA,0.135416
"164",NA,"Main_RecrDev_2004",0.11112,NA,NA,NA,NA,-0.288105,NA,0.0761438,NA,0.0563235
"165",NA,"Main_RecrDev_2005",0.0327532,NA,NA,NA,NA,-0.0909786,NA,0.0331876,NA,-0.00513269
"166",NA,"Main_RecrDev_2006",0.495528,NA,NA,NA,NA,0.0433944,NA,0.531214,NA,0.471297
"167",NA,"Main_RecrDev_2007",0.50764,NA,NA,NA,NA,0.347495,NA,0.460734,NA,0.470498
"168",NA,"Main_RecrDev_2008",0.642933,NA,NA,NA,NA,0.577036,NA,0.72549,NA,0.64264
