"","Label","Type","0- Reference model","01- old dockside","02- old dockside no xvar","03- private boat no xvar","04- no private boat","05- no charter","06- no dockside indices","07- no tag index","08- no nearshore","09- no OCMNS","10- no YOY","11- no data wts","12- Dirichlet","13- McA_I","14- old catch"
"81",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"82",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"83",NA,"Wtlen_1_Fem_GP_1",5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05
"84",NA,"Wtlen_2_Fem_GP_1",2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122
"85",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36
"86",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
"87",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08
"88",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685
"89",NA,"NatM_uniform_Mal_GP_1",0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152
"90",NA,"L_at_Amin_Mal_GP_1",3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175
"91",NA,"L_at_Amax_Mal_GP_1",47.6462,47.6473,47.703,47.6445,47.6354,47.6436,47.6244,47.6289,47.6445,47.6425,47.6438,48.8495,48.889,47.517,47.629
"92",NA,"VonBert_K_Mal_GP_1",0.140309,0.140364,0.140773,0.140318,0.140318,0.140279,0.140414,0.140529,0.140317,0.140345,0.140327,0.133416,0.133082,0.141703,0.140604
"93",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"94",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"95",NA,"Wtlen_1_Mal_GP_1",2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05
"96",NA,"Wtlen_2_Mal_GP_1",2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062
"97",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"99",NA,"SR_LN(R0)",7.58754,7.57199,7.57774,7.58738,7.53488,7.58699,7.54434,7.53211,7.5872,7.57822,7.58448,7.53274,7.56706,7.55258,7.80264
"100",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"101",NA,"SR_sigmaR",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"102",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",NA,"Main_RecrDev_1956",-0.546011,-0.539265,-0.738273,-0.545695,-0.473571,-0.53379,-0.481403,-0.494428,-0.544721,-0.537231,-0.540865,-1.51204,-1.58965,-0.967497,-0.294296
"105",NA,"Main_RecrDev_1957",-0.560845,-0.554141,-0.752555,-0.560537,-0.489156,-0.548762,-0.495989,-0.507731,-0.55965,-0.551993,-0.555917,-1.44082,-1.51504,-0.973697,-0.325831
"106",NA,"Main_RecrDev_1958",-0.557158,-0.55052,-0.748434,-0.556859,-0.486243,-0.545211,-0.492001,-0.502655,-0.556064,-0.548232,-0.552464,-1.30917,-1.3782,-0.957375,-0.340648
"107",NA,"Main_RecrDev_1959",-0.527038,-0.52044,-0.719103,-0.526746,-0.456385,-0.515142,-0.460948,-0.472842,-0.526052,-0.517958,-0.522579,-1.11077,-1.17147,-0.913838,-0.328791
