Type,0- Reference model,01- old dockside,02- old dockside no xvar,03- private boat no xvar,04- no private boat,05- no charter,06- no dockside indices,07- no tag index,08- no nearshore,09- no OCMNS,10- no YOY,11- no data wts,12- Dirichlet,13- McA_I,14- old catch
Size_DblN_peak_OCNMS(6),26.655,26.7104,26.3498,26.6551,26.9298,26.6794,13.036,13.0118,26.6596,26.6429,26.6413,26.0855,10.5975,26.3507,13.041
Size_DblN_top_logit_OCNMS(6),1.03594,3.50009,1.33389,3.50565,2.25893,3.50385,2.61885,3.5427,3.50536,3.40365,3.50649,3.29056,4.86249,1.36341,1.74392
Size_DblN_ascend_se_OCNMS(6),3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
Size_DblN_descend_se_OCNMS(6),1.32842,-4.49965,-4.50876,-4.49974,-4.49151,-4.49968,-4.49883,-4.40613,-4.49971,-4.49096,-4.49967,-4.55118,-4.50102,-4.50049,-10.2666
LnQ_base_Dockside(8),NA,-5.57979,-5.83743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Q_extraSD_Dockside(8),NA,0.174022,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SB0,949.641,935.824,955.484,949.374,898.666,948.314,907.048,898.188,949.195,940.672,946.607,1029.63,1066.76,922.675,1182.52
SSB_2023,440.039,409.558,531.641,439.546,315.301,431.427,334.859,325.44,438.7,420.368,433.996,653.14,788.64,555.567,723.344
Bratio_2023,0.463374,0.437644,0.55641,0.462985,0.350854,0.454941,0.369175,0.362329,0.462181,0.44688,0.458475,0.634346,0.739283,0.602127,0.611698
MSY_SPR,277.621,273.483,277.303,277.57,263.141,277.335,265.645,262.783,277.52,275.059,276.773,259.347,268.166,272.687,344.797
F_SPR,0.0483232,0.0483387,0.0485799,0.0483201,0.0482917,0.0483067,0.0482863,0.0483265,0.0483199,0.048322,0.0483205,0.0472587,0.0472266,0.048881,0.0483542
