,Label,Type,00- Reference model,01- dockside '15,02- dockside '15 noxvar,03- private boat noxvar,04- no private boat,05- no charter,06- no dockside indices,07- no tag index,08- no nearshore,09- no OCMNS,10- no YOY,11- no data wts,12- Dirichlet,13- McA_I,14- 2015 Ct,"15-2015 Ct, ds noxvar",16- Sex = 3
193,NA,Size_DblN_ascend_se_NonTRWL(2),4.30249,4.2997,4.34299,4.30255,4.31157,4.29867,4.30833,4.30402,4.30312,4.30294,4.30271,4.22417,4.21734,4.31249,4.31582,4.36307,4.20442
197,NA,Size_DblN_peak_Recreational(3),43.512,43.4824,43.0108,43.5015,43.5932,43.5243,43.6048,43.5398,43.5016,43.5048,43.5033,41.9371,41.9303,43.5062,43.4326,42.9418,43.7249
198,NA,Size_DblN_top_logit_Recreational(3),-2.57276,-2.66946,-8.65082,2.49816,2.49968,2.50432,2.492,2.49946,2.51169,2.4989,2.49883,2.6352,2.63657,2.48839,2.47698,-8.15239,2.03197
199,NA,Size_DblN_ascend_se_Recreational(3),3.65524,3.65543,3.62129,3.65404,3.66161,3.6552,3.66248,3.66094,3.65387,3.65545,3.65466,3.38885,3.38334,3.67516,3.64581,3.61984,3.71452
203,NA,Size_DblN_peak_Tagging(4),41.904,41.6665,41.2172,41.6944,41.775,41.7145,41.7806,41.7093,41.6941,41.701,41.6964,41.2798,41.3078,41.5781,41.6427,41.1375,41.8392
204,NA,Size_DblN_top_logit_Tagging(4),-5.33963,-3.75974,-5.01622,-3.68852,-3.77,-3.68724,-3.74195,-3.76169,-3.6865,-3.70781,-3.69428,-3.20071,-3.27382,-3.78545,-3.60988,-4.33575,-3.3307
205,NA,Size_DblN_ascend_se_Tagging(4),3.50492,3.35526,3.34506,3.35119,3.36103,3.35263,3.35959,3.35801,3.35105,3.35301,3.35172,3.28238,3.28763,3.34984,3.34157,3.34417,3.34037
211,NA,Size_DblN_peak_OCNMS(6),26.6504,26.6247,28.1444,26.5588,26.8553,26.5848,12.8092,13.0363,26.5607,26.5512,26.5451,25.9633,10.598,25.7471,26.5246,26.3538,26.4958
212,NA,Size_DblN_top_logit_OCNMS(6),1.03612,3.50838,13.2144,3.51597,0.0221818,3.5128,2.61399,2.77585,3.53428,3.40668,3.51517,1.29752,4.83579,1.76501,1.04088,3.5529,3.54038
213,NA,Size_DblN_ascend_se_OCNMS(6),3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539,3.58539
214,NA,Size_DblN_descend_se_OCNMS(6),1.32143,-4.50032,5.9988,-4.50022,-4.55883,-4.50029,-4.43107,-4.44354,-4.49996,-4.48702,-4.50003,-4.6128,-4.50014,-4.50156,1.2251,-3.44936,-4.49985
223,NA,Size_DblN_peak_Nearshore_survey(5),NA,42.3455,41.9946,42.3674,42.4614,42.3847,42.4433,42.3869,42.4755,42.3288,42.3588,20.8961,42.4016,19.6016,42.3145,41.9309,43.0234
224,NA,Size_DblN_top_logit_Nearshore_survey(5),NA,-6.19442,-0.720974,-6.21823,-6.11863,-6.2112,-3.59254,-6.12736,-7.1451,-6.20089,-6.2116,-8.42293,2.07208,-8.62197,-6.23665,-6.03518,-6.59235
225,NA,Size_DblN_ascend_se_Nearshore_survey(5),NA,4.17779,4.18787,4.18999,4.15223,4.18841,4.16758,4.16028,4.20472,4.18423,4.1906,-3.99353,4.30612,-3.29287,4.19394,4.1731,4.26746
241,NA,SB0,943.875,936.348,951.52,951.722,898.499,950.487,907.665,900.106,952.586,943.03,948.857,1041.67,1068.02,955.403,1131.09,1125.94,1017.02
242,NA,SSB_2023,426.151,415.324,523.398,450.07,318.921,441.469,340.477,333.775,451.821,430.82,444.274,699.849,794.165,682.102,576.226,606.524,586.093
243,NA,Bratio_2023,0.451491,0.443557,0.550066,0.4729,0.354949,0.464466,0.375114,0.370818,0.474311,0.456847,0.46822,0.671853,0.743587,0.713942,0.509441,0.538684,0.576286
244,NA,MSY_SPR,275.884,273.547,276.043,278.161,263.095,277.877,265.741,263.252,278.414,275.652,277.335,262.169,268.416,281.875,329.964,325.793,287.473
245,NA,F_SPR,0.0483459,0.0483686,0.0486198,0.0483498,0.048316,0.0483362,0.0483151,0.0483564,0.0483488,0.0483519,0.0483505,0.0472716,0.0472367,0.0489755,0.0483618,0.048658,0.0475575
