"","Label","Type","Reference Model","01-Length Only","02-C+L","03-C+L Francis","04-C+L+A","05-C+L+A+I","06-C+L+A+I-extra var","07-C+L+A+I+estLH-extra var","08-Ref Mod with Dirichlet","09-Ref Mod with McI","10-Ref Mod -data wt","11-Ref Mod with CARE age error","12. Use Sex=3"
"181",NA,"Main_RecrDev_1909",NA,NA,NA,NA,NA,NA,NA,NA,-0.0171567,-0.0156053,-0.0170232,NA,NA
"182",NA,"Main_RecrDev_1910",NA,NA,NA,NA,NA,NA,NA,NA,-0.0176237,-0.0161228,-0.017473,NA,NA
"183",NA,"Main_RecrDev_1911",NA,NA,NA,NA,NA,NA,NA,NA,-0.0181059,-0.0166716,-0.0179489,NA,NA
"184",NA,"Main_RecrDev_1912",NA,NA,NA,NA,NA,NA,NA,NA,-0.0186224,-0.0172532,-0.0184525,NA,NA
"185",NA,"Main_RecrDev_1913",NA,NA,NA,NA,NA,NA,NA,NA,-0.0191719,-0.0178697,-0.0189854,NA,NA
"186",NA,"Main_RecrDev_1914",NA,NA,NA,NA,NA,NA,NA,NA,-0.0197516,-0.0185229,-0.0195494,NA,NA
"187",NA,"Main_RecrDev_1915",NA,NA,NA,NA,NA,NA,NA,NA,-0.0203578,-0.0192149,-0.0201457,NA,NA
"188",NA,"Main_RecrDev_1916",NA,NA,NA,NA,NA,NA,NA,NA,-0.0210034,-0.0199476,-0.0207763,NA,NA
"189",NA,"Main_RecrDev_1917",NA,NA,NA,NA,NA,NA,NA,NA,-0.0216974,-0.0207233,-0.0214432,NA,NA
"190",NA,"Main_RecrDev_1918",NA,NA,NA,NA,NA,NA,NA,NA,-0.0224178,-0.0215442,-0.0221481,NA,NA
"191",NA,"Main_RecrDev_1919",NA,NA,NA,NA,NA,NA,NA,NA,-0.0231829,-0.0224126,-0.0228931,NA,NA
"192",NA,"Main_RecrDev_1920",NA,NA,NA,NA,NA,NA,NA,NA,-0.0239947,-0.023331,-0.0236809,NA,NA
"193",NA,"Main_RecrDev_1921",NA,NA,NA,NA,NA,NA,NA,NA,-0.024849,-0.0243025,-0.024514,NA,NA
"194",NA,"Main_RecrDev_1922",NA,NA,NA,NA,NA,NA,NA,NA,-0.0257614,-0.0253308,-0.0253966,NA,NA
"195",NA,"Main_RecrDev_1923",NA,NA,NA,NA,NA,NA,NA,NA,-0.0267219,-0.0264208,-0.0263325,NA,NA
"196",NA,"Main_RecrDev_1924",NA,NA,NA,NA,NA,NA,NA,NA,-0.027743,-0.0275762,-0.0273257,NA,NA
"197",NA,"Main_RecrDev_1925",NA,NA,NA,NA,NA,NA,NA,NA,-0.0288211,-0.0287975,-0.0283756,NA,NA
"198",NA,"Main_RecrDev_1926",NA,NA,NA,NA,NA,NA,NA,NA,-0.0299543,-0.030084,-0.0294829,NA,NA
"199",NA,"Main_RecrDev_1927",NA,NA,NA,NA,NA,NA,NA,NA,-0.0311548,-0.0314378,-0.0306511,NA,NA
"200",NA,"Main_RecrDev_1928",NA,NA,NA,NA,NA,NA,NA,NA,-0.0324237,-0.0328648,-0.0318869,NA,NA
"201",NA,"Main_RecrDev_1929",NA,NA,NA,NA,NA,NA,NA,NA,-0.0337806,-0.0343732,-0.0332061,NA,NA
"202",NA,"Main_RecrDev_1930",NA,NA,NA,NA,NA,NA,NA,NA,-0.0352185,-0.0359711,-0.0346075,NA,NA
"203",NA,"Main_RecrDev_1931",NA,NA,NA,NA,NA,NA,NA,NA,-0.0367591,-0.0376738,-0.0361125,NA,NA
"204",NA,"Main_RecrDev_1932",NA,NA,NA,NA,NA,NA,NA,NA,-0.0384226,-0.0395,-0.0377351,NA,NA
"205",NA,"Main_RecrDev_1933",NA,NA,NA,NA,NA,NA,NA,NA,-0.0402229,-0.0414602,-0.0394887,NA,NA
"206",NA,"Main_RecrDev_1934",NA,NA,NA,NA,NA,NA,NA,NA,-0.0421591,-0.0435598,-0.0413866,NA,NA
"207",NA,"Main_RecrDev_1935",NA,NA,NA,NA,NA,NA,NA,NA,-0.0442536,-0.0458075,-0.0434301,NA,NA
