"","Label","Type","00- Reference model","01- dockside '15","02- dockside '15 noxvar","03- private boat noxvar","04- no private boat","05- no charter","06- no dockside indices","07- no tag index","08- no nearshore","09- no OCMNS","10- no YOY","11- no data wts","12- Dirichlet","13- McA_I","14- 2015 Ct","15-2015 Ct, ds noxvar","16- Sex = 3"
"63",NA,"Dockside",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"64","Age_lambda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,"ALL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,"Trawl",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67",NA,"NonTRWL",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"68",NA,"Recreational",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"69",NA,"Tagging",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70",NA,"Nearshore_survey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71",NA,"OCNMS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72",NA,"OCNMS_YOY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73",NA,"Private_Boat",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"74",NA,"Charter",0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"75",NA,"Dockside",NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
"76","Parameters",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,"NatM_uniform_Fem_GP_1",0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
"78",NA,"L_at_Amin_Fem_GP_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",NA,"L_at_Amax_Fem_GP_1",52.7284,52.7309,52.7698,52.7278,52.7153,52.7277,52.7209,52.7255,52.7278,52.7261,52.7272,56.3626,56.4092,52.2304,52.7447,52.7964,52.6134
"80",NA,"VonBert_K_Fem_GP_1",0.117739,0.117789,0.118325,0.117758,0.11769,0.117721,0.11767,0.117766,0.117756,0.117767,0.117761,0.103363,0.103144,0.121736,0.11778,0.118377,0.118893
"81",NA,"CV_young_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"82",NA,"CV_old_Fem_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"83",NA,"Wtlen_1_Fem_GP_1",5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05,5.24556e-05
"84",NA,"Wtlen_2_Fem_GP_1",2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122,2.72122
"85",NA,"Mat50%_Fem_GP_1",40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36,40.36
"86",NA,"Mat_slope_Fem_GP_1",-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418,-0.380418
"87",NA,"Eggs_scalar_Fem_GP_1",1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08,1.41e-08
"88",NA,"Eggs_exp_len_Fem_GP_1",4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685,4.685
"89",NA,"NatM_uniform_Mal_GP_1",0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152,0.152
"90",NA,"L_at_Amin_Mal_GP_1",3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175,3.66175
"91",NA,"L_at_Amax_Mal_GP_1",47.6527,47.6558,47.7186,47.6532,47.639,47.6523,47.633,47.638,47.6531,47.6512,47.6524,48.8717,48.8992,47.5427,47.6393,47.707,47.0242
"92",NA,"VonBert_K_Mal_GP_1",0.140352,0.140416,0.140811,0.140367,0.140382,0.140327,0.140461,0.140574,0.140363,0.140394,0.140377,0.133339,0.133056,0.141857,0.140551,0.141112,0.140538
"93",NA,"CV_young_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"94",NA,"CV_old_Mal_GP_1",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"95",NA,"Wtlen_1_Mal_GP_1",2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05,2.47904e-05
"96",NA,"Wtlen_2_Mal_GP_1",2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062,2.91062
"97",NA,"CohortGrowDev",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"98",NA,"FracFemale_GP_1",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"99",NA,"SR_LN(R0)",7.58041,7.5711,7.57172,7.5884,7.53381,7.58783,7.54362,7.53278,7.58934,7.57926,7.58539,7.54278,7.56755,7.58224,7.75844,7.73557,7.64778
"100",NA,"SR_BH_steep",0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
"101",NA,"SR_sigmaR",0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"102",NA,"SR_regime",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",NA,"SR_autocorr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",NA,"Main_RecrDev_1956",-0.536315,-0.538274,-0.744897,-0.54667,-0.47198,-0.534582,-0.479022,-0.494215,-0.5479,-0.538228,-0.541661,-1.55309,-1.59007,-1.01285,-0.207809,-0.338539,-0.608769
"105",NA,"Main_RecrDev_1957",-0.551425,-0.553183,-0.742703,-0.561526,-0.487625,-0.54957,-0.50053,-0.508659,-0.562637,-0.553003,-0.556734,-1.46094,-1.5154,-1.01767,-0.245715,-0.376413,-0.623321
"106",NA,"Main_RecrDev_1958",-0.54804,-0.549599,-0.744964,-0.557867,-0.484775,-0.546038,-0.49616,-0.504567,-0.558068,-0.549261,-0.553309,-1.30729,-1.37846,-0.999693,-0.266671,-0.391275,-0.622429
"107",NA,"Main_RecrDev_1959",-0.518203,-0.519559,-0.716427,-0.527787,-0.454982,-0.516004,-0.461911,-0.473551,-0.528447,-0.51902,-0.523466,-1.13141,-1.17157,-0.954272,-0.260244,-0.385198,-0.597757
"108",NA,"Main_RecrDev_1960",-0.457396,-0.458518,-0.672922,-0.466813,-0.393261,-0.454931,-0.390306,-0.410607,-0.465146,-0.457724,-0.462727,-0.89185,-0.912689,-0.878485,-0.221075,-0.344269,-0.547715
"109",NA,"Main_RecrDev_1961",-0.36713,-0.367917,-0.558926,-0.376498,-0.300603,-0.364341,-0.302115,-0.31664,-0.377856,-0.366828,-0.372645,-0.632663,-0.661437,-0.765445,-0.149467,-0.273326,-0.467248
"110",NA,"Main_RecrDev_1962",-0.266772,-0.267041,-0.471394,-0.276208,-0.19654,-0.263723,-0.192515,-0.211079,-0.279948,-0.265716,-0.27258,-0.428229,-0.4471,-0.605507,-0.0671015,-0.202518,-0.387682
"111",NA,"Main_RecrDev_1963",-0.216925,-0.216645,-0.399589,-0.22634,-0.145057,-0.214014,-0.140285,-0.158277,-0.22632,-0.215395,-0.22287,0.0383699,0.023972,-0.447571,-0.0427894,-0.179016,-0.350792
"112",NA,"Main_RecrDev_1964",-0.269236,-0.268951,-0.466081,-0.278303,-0.20165,-0.266897,-0.205826,-0.214847,-0.277102,-0.268066,-0.274851,-0.520835,-0.557314,-0.46918,-0.126782,-0.250333,-0.393733
"113",NA,"Main_RecrDev_1965",-0.32989,-0.329931,-0.537442,-0.338637,-0.266288,-0.327849,-0.266858,-0.280024,-0.340655,-0.329161,-0.335178,-0.478208,-0.543213,-0.552026,-0.213751,-0.335214,-0.445716
"114",NA,"Main_RecrDev_1966",-0.304847,-0.305268,-0.455264,-0.313404,-0.243178,-0.302794,-0.244278,-0.257469,-0.314535,-0.304346,-0.309966,-0.455085,-0.46241,-0.485252,-0.211307,-0.340142,-0.421474
"115",NA,"Main_RecrDev_1967",-0.098775,-0.0994101,-0.31589,-0.107439,-0.0342489,-0.0962281,-0.0413946,-0.0487277,-0.11031,-0.0979087,-0.104117,-0.27726,-0.317443,-0.0872243,-0.0282062,-0.175131,-0.239684
"116",NA,"Main_RecrDev_1968",0.159552,0.160694,-0.0637916,0.150351,0.237947,0.162479,0.249303,0.227621,0.15045,0.162659,0.153289,0.493638,0.472908,0.10247,0.182733,0.020788,-0.0300091
"117",NA,"Main_RecrDev_1969",-0.134401,-0.13443,-0.263734,-0.142443,-0.0766137,-0.133665,-0.0849384,-0.0902776,-0.143139,-0.133957,-0.139177,-0.908563,-0.939687,-0.545087,-0.116326,-0.248658,-0.271227
"118",NA,"Main_RecrDev_1970",-0.163498,-0.163597,-0.360878,-0.171539,-0.104118,-0.162907,-0.105815,-0.117823,-0.174107,-0.162865,-0.168376,-0.602547,-0.65131,-0.472842,-0.167507,-0.305114,-0.302511
"119",NA,"Main_RecrDev_1971",0.0243885,0.0261446,-0.147201,0.0160013,0.0934027,0.0237583,0.0922681,0.0833417,0.0154802,0.0266901,0.018794,0.284618,0.263341,-0.111398,-0.0237168,-0.161117,-0.14304
"120",NA,"Main_RecrDev_1972",-0.0677373,-0.0663453,-0.171421,-0.0753312,-0.0143746,-0.0707182,-0.0160876,-0.0262028,-0.0748555,-0.0674142,-0.0722852,-0.940263,-0.951078,-0.312112,-0.105795,-0.207597,-0.186822
"121",NA,"Main_RecrDev_1973",0.321545,0.322518,0.165137,0.313632,0.383904,0.319378,0.376445,0.371738,0.310987,0.322859,0.316426,0.441221,0.412223,0.256211,0.254177,0.12412,0.182763
"122",NA,"Main_RecrDev_1974",0.394005,0.401998,0.411993,0.386397,0.448156,0.381796,0.437832,0.44628,0.386746,0.395885,0.388989,0.44034,0.418417,0.496694,0.303414,0.327483,0.272955
"123",NA,"Main_RecrDev_1975",-0.239697,-0.2347,-0.189121,-0.246722,-0.197088,-0.250732,-0.212413,-0.204495,-0.249096,-0.240019,-0.243773,-0.17558,-0.204529,-0.216704,-0.29379,-0.249077,-0.330778
"124",NA,"Main_RecrDev_1976",0.0395438,0.0497119,0.201121,0.0322275,0.0891992,0.0213976,0.0712615,0.0907128,0.0318587,0.0413994,0.0347145,0.27207,0.250898,0.416212,-0.0552446,0.106163,-0.0723393
"125",NA,"Main_RecrDev_1977",-0.0723149,-0.0637179,0.139058,-0.0792281,-0.030984,-0.0907851,-0.0530045,-0.0319294,-0.0801766,-0.0718476,-0.0765472,-0.140393,-0.165997,-0.310073,-0.144096,0.0667222,-0.167735
"126",NA,"Main_RecrDev_1978",0.379581,0.391627,0.720168,0.372603,0.42027,0.356291,0.398347,0.42564,0.371594,0.3808,0.37502,0.477242,0.458585,0.538224,0.286739,0.621736,0.299279
"127",NA,"Main_RecrDev_1979",0.0782303,0.0922756,0.457271,0.0715979,0.111991,0.0541517,0.0839614,0.120697,0.0711001,0.0791007,0.0740588,0.247163,0.224708,0.254198,-0.0126705,0.375918,0.0237838
"128",NA,"Main_RecrDev_1980",-0.0990155,-0.0833546,0.250047,-0.105645,-0.0676839,-0.122623,-0.0910314,-0.0569055,-0.106702,-0.0982835,-0.103258,-0.0686707,-0.0889403,-0.086744,-0.196434,0.183054,-0.10607
"129",NA,"Main_RecrDev_1981",-0.0246994,-0.00473495,0.268682,-0.0310992,0.00157942,-0.0465553,-0.0214938,0.0186215,-0.0318148,-0.0237475,-0.0288172,0.151498,0.133233,0.0843841,-0.13457,0.226128,-0.0368792
"130",NA,"Main_RecrDev_1982",-0.251866,-0.230911,-0.0276338,-0.257971,-0.230527,-0.270458,-0.251799,-0.212334,-0.258565,-0.251401,-0.255683,0.0945303,0.0774953,-0.0917463,-0.357546,-0.0499779,-0.320252
"131",NA,"Main_RecrDev_1983",0.286709,0.312608,0.464875,0.280912,0.302562,0.270641,0.285346,0.3292,0.280059,0.287631,0.282943,0.368239,0.351794,0.406971,0.160822,0.430218,0.326091
"132",NA,"Main_RecrDev_1984",-0.0753059,-0.0489926,0.0366542,-0.0808254,-0.0648916,-0.0872682,-0.0776619,-0.0354618,-0.0813217,-0.0748448,-0.0787615,0.133361,0.114845,0.0333034,-0.198539,-0.0196791,-0.117196
"133",NA,"Main_RecrDev_1985",0.163331,0.190345,0.297041,0.15797,0.171736,0.152353,0.15986,0.205596,0.157215,0.163947,0.159831,0.206896,0.19498,0.235295,0.0317165,0.214721,0.215845
"134",NA,"Main_RecrDev_1986",-0.161471,-0.135145,-0.0230548,-0.166684,-0.15676,-0.170892,-0.166994,-0.120841,-0.167217,-0.161349,-0.164849,0.0016407,-0.0151915,-0.0936849,-0.288091,-0.111307,-0.142718
"135",NA,"Main_RecrDev_1987",0.134824,0.162118,0.323356,0.129812,0.134982,0.127654,0.128275,0.176502,0.1292,0.134887,0.131406,0.156637,0.145518,0.192726,-0.00223779,0.207403,0.141721
"136",NA,"Main_RecrDev_1988",-0.21144,-0.185158,-0.0062249,-0.216129,-0.215949,-0.215697,-0.221645,-0.172783,-0.216565,-0.211847,-0.214595,0.0272614,0.0157919,-0.112797,-0.340418,-0.121371,-0.188703
"137",NA,"Main_RecrDev_1989",0.302424,0.328947,0.497373,0.298077,0.29388,0.300513,0.294295,0.34186,0.297527,0.302139,0.299358,0.331689,0.322871,0.376307,0.182346,0.38654,0.326194
"138",NA,"Main_RecrDev_1990",0.126769,0.149878,0.247432,0.123015,0.115882,0.126697,0.116132,0.162336,0.122702,0.126606,0.124226,0.189941,0.179986,0.214086,0.0298117,0.163185,0.145898
"139",NA,"Main_RecrDev_1991",-0.0874422,-0.0675699,-0.00923786,-0.0904303,-0.0999435,-0.0862862,-0.0962791,-0.0577498,-0.0911085,-0.0872648,-0.0893412,-0.0300738,-0.0371169,0.00156016,-0.177805,-0.0941813,-0.0809168
"140",NA,"Main_RecrDev_1992",-0.19516,-0.177574,-0.14102,-0.197262,-0.207952,-0.193133,-0.206107,-0.173294,-0.197365,-0.194488,-0.196277,-0.233884,-0.238181,-0.0943615,-0.283925,-0.213733,-0.155771
"141",NA,"Main_RecrDev_1993",-0.0684469,-0.0533054,-0.00447846,-0.0697357,-0.0801308,-0.0653804,-0.0762594,-0.0560247,-0.0702214,-0.0671871,-0.0688271,-0.114241,-0.121593,0.0112974,-0.160097,-0.0875624,-0.0599973
"142",NA,"Main_RecrDev_1994",0.268416,0.280402,0.338096,0.267741,0.257702,0.272195,0.261182,0.266096,0.267416,0.270118,0.268544,0.200559,0.199432,0.364712,0.185892,0.253594,0.290377
"143",NA,"Main_RecrDev_1995",0.214356,0.219828,0.295273,0.213531,0.2051,0.218397,0.210597,0.194168,0.21334,0.215744,0.214262,0.159466,0.156056,0.303695,0.127997,0.200395,0.233025
"144",NA,"Main_RecrDev_1996",-0.238218,-0.237717,-0.148118,-0.239698,-0.247416,-0.235476,-0.24507,-0.267694,-0.240296,-0.237837,-0.2389,-0.300517,-0.297248,-0.156052,-0.31859,-0.244028,-0.234118
"145",NA,"Main_RecrDev_1997",0.0832684,0.0798998,0.17844,0.0817706,0.071148,0.0850495,0.075713,0.048107,0.081794,0.0833637,0.082298,0.0758432,0.0767069,0.170797,-0.00346671,0.0738139,0.12195
"146",NA,"Main_RecrDev_1998",0.099343,0.0912133,0.141092,0.098411,0.084649,0.100621,0.08931,0.0598332,0.0979499,0.0995046,0.0988491,0.112148,0.117226,0.172655,0.0159493,0.0318849,0.114157
"147",NA,"Main_RecrDev_1999",0.264706,0.253222,0.25021,0.264566,0.246607,0.265919,0.250422,0.221551,0.264577,0.264996,0.264791,0.290279,0.296325,0.352117,0.194757,0.147034,0.316729
"148",NA,"Main_RecrDev_2000",0.471466,0.456424,0.41716,0.472768,0.449032,0.473094,0.455236,0.424379,0.472533,0.472487,0.472659,0.532599,0.543776,0.571438,0.404311,0.304112,0.517583
"149",NA,"Main_RecrDev_2001",-0.324113,-0.341487,-0.38809,-0.320766,-0.348104,-0.321242,-0.343134,-0.369733,-0.320606,-0.322002,-0.320933,-0.260554,-0.249525,-0.217805,-0.376055,-0.494126,-0.271468
"150",NA,"Main_RecrDev_2002",-0.4781,-0.49591,-0.550033,-0.473535,-0.505878,-0.474433,-0.499459,-0.52667,-0.473651,-0.475573,-0.473928,-0.413221,-0.397646,-0.370179,-0.524968,-0.650558,-0.413943
"151",NA,"Main_RecrDev_2003",0.194557,0.174954,0.0892098,0.20298,0.16262,0.201203,0.17052,0.144593,0.203175,0.199861,0.202003,0.332293,0.355362,0.312006,0.149728,-0.0244383,0.243526
"152",NA,"Main_RecrDev_2004",0.106501,0.087905,-0.0614199,0.119639,0.0731695,0.116916,0.0844194,0.0603634,0.119732,0.115228,0.118349,0.247816,0.269241,0.257009,0.0778818,-0.166263,0.19362
